date,jcd,r,登番1,勝率1,登番2,勝率2,登番3,勝率3,登番4,勝率4,登番5,勝率5,登番6,勝率6
20260625,01,1,3619,4.96,3304,5.9,4474,5.56,4475,6.07,4740,4.63,5133,5.71
20260625,01,2,5269,5.42,3616,4.81,4508,5.17,4259,5.65,4688,6.79,3793,4.2
20260625,01,3,4631,4.81,4918,5.06,5145,6.07,5212,6.15,4276,5.88,4757,6.96
20260625,01,4,4151,5.13,4376,5.73,4152,5.25,4695,5.76,4839,5.79,4357,6.93
20260625,01,5,4258,4.96,5133,5.71,4403,6.31,3997,6.45,4216,4.66,3514,6.02
20260625,01,6,3532,5.96,3793,4.2,4740,4.63,3947,4.36,5239,4.86,4299,4.58
20260625,01,7,4259,5.65,5289,5.87,4188,7.58,4474,5.56,4918,5.06,4457,4.78
20260625,01,8,5145,6.07,4152,5.25,3619,4.96,5076,5.36,4736,6.94,4508,5.17
20260625,01,9,4695,5.76,3514,6.02,4757,6.96,4960,7.78,5269,5.42,3517,5.89
20260625,01,10,4131,6.34,4357,6.93,4114,5.27,4308,6.87,3616,4.81,3304,5.9
20260625,01,11,4688,6.79,4276,5.88,4596,5.87,4216,4.66,4151,5.13,4475,6.07
20260625,01,12,4188,7.58,4468,6.61,4736,6.94,3909,6.63,3532,5.96,3997,6.45
20260625,03,1,4660,4.18,3973,4.12,4917,4.42,5115,5.19,3934,4.78,4093,4.33
20260625,03,2,4632,4.84,4161,5.31,4995,4.65,3808,4.21,5070,3.43,4723,4.9
20260625,03,3,3602,3.89,4550,5.27,4644,6.26,3584,5.09,4077,5.97,4202,4.75
20260625,03,4,4407,4.99,3929,4.22,4438,4.98,4318,5.64,3775,3.91,4750,5.32
20260625,03,5,3934,4.78,4598,5.15,4952,4.38,5374,2.59,4875,5.09,4082,5.73
20260625,03,6,3685,5.82,4093,4.33,3808,4.21,5364,2.53,4748,6.49,3850,4.54
20260625,03,7,5236,3.95,3907,5.21,3602,3.89,4660,4.18,3690,4.97,4245,4.37
20260625,03,8,4917,4.42,4407,4.99,4465,4.62,5279,5.39,4159,6.29,4486,5.64
20260625,03,9,4318,5.64,4735,4.13,4388,5.86,4644,6.26,4729,3.86,3973,4.12
20260625,03,10,4438,4.98,4952,4.38,4723,4.9,4677,6.09,4084,6.6,4550,5.27
20260625,03,11,4161,5.31,4077,5.97,3975,5.78,4619,4.98,5115,5.19,3690,4.97
20260625,03,12,4748,6.49,3584,5.09,4486,5.64,3907,5.21,4750,5.32,5070,3.43
20260625,04,1,4211,3.44,3839,3.29,4020,4.43,4104,3.8,4901,5.05,4754,6.19
20260625,04,2,4011,5.81,4150,5.86,5361,2.67,5246,5.25,3731,4.85,4557,4.12
20260625,04,3,3769,5.89,4017,5.53,3542,4.02,3838,5.57,5166,6.06,4899,4.43
20260625,04,4,4323,5.27,4363,5.78,5034,6.92,4898,4.51,4179,5.57,5436,1.23
20260625,04,5,4462,5.1,4569,4.8,4907,7.0,4818,2.92,4060,4.35,4181,3.69
20260625,04,6,4911,5.46,3834,3.73,4754,6.19,4897,3.77,4150,5.86,4607,5.71
20260625,04,7,3839,3.29,4905,4.48,4011,5.81,4348,5.96,3963,5.71,3542,4.02
20260625,04,8,4017,5.53,4020,4.43,3981,3.93,5017,6.37,5361,2.67,4898,4.51
20260625,04,9,4179,5.57,3993,5.29,4181,3.69,5166,6.06,4104,3.8,3731,4.85
20260625,04,10,3838,5.57,4523,5.67,4060,4.35,4901,5.05,5034,6.92,3834,3.73
20260625,04,11,4348,5.96,4899,4.43,4897,3.77,4211,3.44,3349,6.54,4907,7.0
20260625,04,12,5017,6.37,4557,4.12,3963,5.71,4569,4.8,4607,5.71,4363,5.78
20260625,06,1,4380,4.56,3313,4.48,4618,5.2,3224,3.77,3905,6.49,5366,1.34
20260625,06,2,5060,5.95,5254,4.05,4023,4.0,3548,5.33,5454,1.4,3385,5.43
20260625,06,3,5344,4.46,3860,3.79,4930,5.85,4395,5.15,4247,5.28,4478,6.54
20260625,06,4,4012,5.96,5185,5.24,4327,3.92,5182,4.92,3293,3.4,3502,5.89
20260625,06,5,4789,5.82,5357,1.64,4003,5.6,4380,4.56,3987,6.11,4102,6.42
20260625,06,6,5106,5.41,4618,5.2,3333,6.18,4484,4.68,5254,4.05,3952,6.65
