date,jcd,r,登番1,級別1,年齢1,体重1,勝率1,全国2率1,当地勝率1,当地2率1,モーター番号1,モーター2率1,ボート番号1,ボート2率1,登番2,級別2,年齢2,体重2,勝率2,全国2率2,当地勝率2,当地2率2,モーター番号2,モーター2率2,ボート番号2,ボート2率2,登番3,級別3,年齢3,体重3,勝率3,全国2率3,当地勝率3,当地2率3,モーター番号3,モーター2率3,ボート番号3,ボート2率3,登番4,級別4,年齢4,体重4,勝率4,全国2率4,当地勝率4,当地2率4,モーター番号4,モーター2率4,ボート番号4,ボート2率4,登番5,級別5,年齢5,体重5,勝率5,全国2率5,当地勝率5,当地2率5,モーター番号5,モーター2率5,ボート番号5,ボート2率5,登番6,級別6,年齢6,体重6,勝率6,全国2率6,当地勝率6,当地2率6,モーター番号6,モーター2率6,ボート番号6,ボート2率6
20260726,23,1,4330,A2,42.0,53.0,6.18,44.17,6.14,47.62,29,37.56,20,32.61,3370,B1,59.0,53.0,3.76,18.31,4.9,25.0,33,21.6,17,36.96,3615,B1,53.0,51.0,4.6,31.03,4.77,29.55,44,32.47,55,43.75,5397,B2,24.0,45.0,1.46,0.0,1.0,0.0,35,39.36,27,25.0,4343,B1,41.0,54.0,4.94,21.65,2.72,5.56,20,33.16,60,32.14,5310,B1,21.0,47.0,4.6,16.92,2.5,0.0,12,35.75,54,33.33
20260726,23,2,4633,A2,37.0,52.0,5.61,33.61,5.78,44.44,47,33.82,5,31.87,5294,B1,24.0,49.0,3.92,22.37,0.0,0.0,55,33.5,22,28.38,4072,A1,45.0,52.0,6.97,52.75,6.47,50.62,15,35.92,18,28.57,3875,B1,49.0,50.0,4.55,28.83,5.38,34.62,41,29.82,53,37.35,4909,B1,30.0,44.0,5.08,36.05,4.42,19.44,16,46.07,45,25.29,5459,B2,19.0,43.0,1.05,0.0,0.0,0.0,7,40.91,30,25.56
20260726,23,3,5004,A2,30.0,52.0,5.98,40.83,4.17,27.78,2,38.62,10,42.67,4905,B1,31.0,54.0,4.6,22.89,4.29,42.86,28,39.44,8,41.94,3392,B1,60.0,51.0,4.28,17.44,4.7,20.0,32,48.58,41,40.7,3430,B1,58.0,55.0,4.18,23.6,2.25,3.57,40,44.26,11,25.61,4460,A2,40.0,56.0,6.03,43.14,4.44,11.11,52,33.51,12,39.51,5435,B2,21.0,49.0,1.43,0.0,1.0,0.0,8,38.07,1,46.25
20260726,23,4,4978,B1,32.0,54.0,4.83,25.74,4.94,25.81,4,46.19,28,38.1,4365,A2,40.0,52.0,6.03,44.57,5.75,37.5,1,31.79,59,38.89,4648,B1,42.0,53.0,4.82,30.77,4.94,29.41,60,33.01,51,31.33,4248,B1,44.0,55.0,4.7,25.29,3.72,6.9,34,34.44,46,18.68,4254,A2,43.0,52.0,5.5,32.0,5.38,25.0,19,34.66,40,28.05,4411,A2,40.0,55.0,5.65,36.92,6.25,43.75,23,23.08,19,35.48
20260726,23,5,3987,A1,48.0,54.0,6.18,42.86,6.74,52.63,53,21.51,3,34.88,4429,B1,40.0,61.0,3.5,12.2,4.39,25.0,38,32.79,24,39.74,4289,A2,41.0,49.0,5.59,36.79,4.57,21.43,21,33.51,35,38.3,4343,B1,41.0,54.0,4.94,21.65,2.72,5.56,20,33.16,60,32.14,5276,B1,24.0,51.0,5.05,24.24,4.71,26.32,59,29.44,50,40.0,4962,A2,29.0,53.0,5.19,30.84,0.0,0.0,31,38.25,14,31.11
20260726,23,6,4092,B1,45.0,52.0,4.82,25.0,5.76,38.78,42,37.06,52,34.09,4085,B1,46.0,55.0,5.36,34.48,0.0,0.0,27,33.33,4,21.69,4368,B1,40.0,53.0,3.95,21.05,4.0,25.0,14,33.15,21,44.19,3615,B1,53.0,51.0,4.6,31.03,4.77,29.55,44,32.47,55,43.75,5006,B1,29.0,57.0,3.38,14.89,2.0,0.0,17,28.76,29,41.38,4362,A1,41.0,53.0,6.7,46.43,6.88,43.75,37,33.67,16,39.02
20260726,23,7,4216,B1,41.0,54.0,4.53,23.16,5.33,33.33,10,37.44,42,27.27,3875,B1,49.0,50.0,4.55,28.83,5.38,34.62,41,29.82,53,37.35,5140,B1,25.0,47.0,4.77,25.32,4.93,26.67,48,29.71,38,37.21,3392,B1,60.0,51.0,4.28,17.44,4.7,20.0,32,48.58,41,40.7,3370,B1,59.0,53.0,3.76,18.31,4.9,25.0,33,21.6,17,36.96,5397,B2,24.0,45.0,1.46,0.0,1.0,0.0,35,39.36,27,25.0
20260726,23,8,3998,B1,47.0,51.0,4.51,27.84,5.12,33.57,24,31.16,48,28.41,4648,B1,42.0,53.0,4.82,30.77,4.94,29.41,60,33.01,51,31.33,4909,B1,30.0,44.0,5.08,36.05,4.42,19.44,16,46.07,45,25.29,5294,B1,24.0,49.0,3.92,22.37,0.0,0.0,55,33.5,22,28.38,5395,B1,24.0,51.0,2.18,4.23,2.26,9.3,26,31.87,39,45.57,4936,A2,29.0,48.0,6.25,44.3,5.33,33.33,18,36.87,31,36.99
20260726,23,9,4254,A2,43.0,52.0,5.5,32.0,5.38,25.0,19,34.66,40,28.05,5276,B1,24.0,51.0,5.05,24.24,4.71,26.32,59,29.44,50,40.0,3430,B1,58.0,55.0,4.18,23.6,2.25,3.57,40,44.26,11,25.61,4365,A2,40.0,52.0,6.03,44.57,5.75,37.5,1,31.79,59,38.89,4633,A2,37.0,52.0,5.61,33.61,5.78,44.44,47,33.82,5,31.87,4330,A2,42.0,53.0,6.18,44.17,6.14,47.62,29,37.56,20,32.61
20260726,23,10,4962,A2,29.0,53.0,5.19,30.84,0.0,0.0,31,38.25,14,31.11,4368,B1,40.0,53.0,3.95,21.05,4.0,25.0,14,33.15,21,44.19,4092,B1,45.0,52.0,4.82,25.0,5.76,38.78,42,37.06,52,34.09,4072,A1,45.0,52.0,6.97,52.75,6.47,50.62,15,35.92,18,28.57,4978,B1,32.0,54.0,4.83,25.74,4.94,25.81,4,46.19,28,38.1,5004,A2,30.0,52.0,5.98,40.83,4.17,27.78,2,38.62,10,42.67
