date,jcd,r,r1,r2,r3,3rt
20260621,02,1,4,5,1,2970
20260621,02,2,2,3,5,1360
20260621,02,3,1,5,6,2380
20260621,02,4,3,2,5,4020
20260621,02,5,1,4,2,630
20260621,02,6,2,3,4,1730
20260621,02,7,1,3,2,640
20260621,02,8,1,4,2,2930
20260621,02,9,4,5,1,7190
20260621,02,10,1,3,4,5360
20260621,02,11,1,2,4,2450
20260621,02,12,5,2,4,58930
20260621,04,1,5,1,4,8180
20260621,04,2,3,4,2,5570
20260621,04,3,1,3,2,920
20260621,04,4,2,1,3,6460
20260621,04,5,1,4,2,12730
20260621,04,6,2,6,3,31330
20260621,04,7,2,1,3,1090
20260621,04,8,1,2,3,2010
20260621,04,9,1,2,3,830
20260621,04,10,3,1,5,5900
20260621,04,11,1,2,4,1410
20260621,04,12,1,4,2,3010
20260621,05,1,1,3,6,1920
20260621,05,2,1,2,6,970
20260621,05,3,1,4,3,1210
20260621,05,4,1,4,5,1010
20260621,05,5,4,2,1,6340
20260621,05,6,1,2,3,940
20260621,05,7,1,3,2,1030
20260621,05,8,1,3,6,1350
20260621,05,9,1,3,4,700
20260621,05,10,1,3,4,650
20260621,05,11,3,4,5,35400
20260621,05,12,1,2,5,860
20260621,06,1,1,2,5,1240
20260621,06,2,2,4,5,860
20260621,06,3,1,5,2,2280
20260621,06,4,1,3,5,970
20260621,06,5,6,3,4,1570
20260621,06,6,4,2,1,2350
20260621,06,7,2,3,6,5590
20260621,06,8,1,4,2,420
20260621,06,9,1,2,4,1560
20260621,06,10,3,1,4,910
20260621,06,11,1,3,2,910
20260621,06,12,3,6,2,50790
20260621,08,1,2,1,4,6150
20260621,08,2,1,3,5,6500
20260621,08,3,2,4,5,3230
20260621,08,4,3,2,4,10830
20260621,08,5,1,4,2,2170
20260621,08,6,1,5,3,1090
20260621,08,7,4,1,5,21830
20260621,08,8,4,2,5,6470
20260621,08,9,1,4,3,1720
20260621,08,10,2,1,4,1690
20260621,08,11,1,2,3,710
20260621,08,12,1,6,4,12990
20260621,09,1,1,4,2,1680
20260621,09,2,1,6,5,430
20260621,09,3,1,2,4,1780
20260621,09,4,1,3,4,1740
20260621,09,5,1,3,5,1060
20260621,09,6,4,1,6,690
20260621,09,7,3,1,6,8670
20260621,09,8,1,6,5,1880
20260621,09,9,1,2,6,3260
20260621,09,10,1,3,2,2350
20260621,09,11,4,5,2,24720
20260621,09,12,3,1,5,4520
20260621,10,1,1,4,3,920
20260621,10,2,4,6,2,117330
20260621,10,3,1,2,3,1260
20260621,10,4,4,1,5,5070
20260621,10,5,1,3,6,790
20260621,10,6,5,2,3,7130
20260621,10,7,3,5,1,37780
20260621,10,8,2,5,4,4230
20260621,10,9,3,1,5,1730
20260621,10,10,2,4,3,3190
20260621,10,11,3,1,4,7440
20260621,10,12,1,2,5,1480
20260621,11,1,1,4,3,1860
20260621,11,2,1,4,5,5250
20260621,11,3,3,1,5,5970
20260621,11,4,1,4,6,12660
20260621,11,5,1,3,4,560
20260621,11,6,5,4,1,8650
20260621,11,7,4,5,2,1570
20260621,11,8,3,5,2,4520
20260621,11,9,1,6,4,8700
20260621,11,10,1,2,5,1160
20260621,11,11,1,2,5,2170
20260621,11,12,4,1,3,3140
20260621,13,1,1,3,2,1260
20260621,13,2,2,4,6,2840
20260621,13,3,1,3,5,8330
20260621,13,4,4,1,3,2860
20260621,13,5,1,2,3,200
20260621,13,6,1,4,3,980
20260621,13,7,1,3,2,480
20260621,13,8,1,6,2,2550
20260621,13,9,1,6,3,2120
20260621,13,10,1,4,3,1850
20260621,13,11,1,2,5,1750
20260621,13,12,1,2,5,1840
20260621,15,1,2,4,5,14630
20260621,15,2,5,1,3,1640
20260621,15,3,3,6,2,2230
20260621,15,4,1,3,4,17150
20260621,15,5,1,5,4,1870
20260621,15,6,2,5,4,30980
20260621,15,7,1,2,6,710
20260621,15,8,1,5,3,1680
20260621,15,9,1,3,2,650
20260621,15,10,1,2,3,590
20260621,15,11,4,5,2,9660
20260621,15,12,1,6,2,11450
20260621,16,1,1,2,5,1050
20260621,16,2,3,4,5,2800
20260621,16,3,1,2,5,1140
20260621,16,4,2,1,4,2900
20260621,16,5,3,4,5,4420
20260621,16,6,1,3,2,1130
20260621,16,7,3,1,2,2070
20260621,16,8,1,2,6,8960
20260621,16,9,1,5,3,15100
20260621,16,10,2,1,4,2190
20260621,16,11,4,2,6,8200
20260621,16,12,1,4,6,1290
20260621,17,1,1,4,2,1020
20260621,17,2,1,2,6,2870
20260621,17,3,1,2,4,2360
20260621,17,4,2,4,6,7090
20260621,17,5,6,2,1,88240
