date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順2,ST2,着順3,ST3,着順6,ST6,着順5,ST5,着順4,ST4
20260829,23,1,1,2,3,520,逃げ,晴,3,3,,,,,520,180,320,250,01,0.13,02,0.20,03,0.18,04,0.17,05,0.21,06,0.24
20260829,23,2,1,2,3,270,逃げ,晴,4,4,,,,,270,140,170,110,01,0.16,02,0.12,03,0.15,06,0.06,04,0.14,05,0.18
20260829,23,3,1,5,2,780,逃げ,晴,5,5,,,,,780,420,220,140,01,0.24,03,0.26,04,0.31,05,0.37,02,0.30,06,0.31
20260829,23,4,1,6,2,1150,抜き,晴,5,5,,,,,1150,470,430,370,01,0.18,03,0.24,05,0.21,02,0.09,06,0.16,04,0.15
20260829,23,5,6,3,2,12020,まくり,晴,5,5,,,,,12020,1270,3470,1260,05,0.15,03,0.21,02,0.17,01,0.14,06,0.21,04,0.28
20260829,23,6,1,2,6,1850,逃げ,晴,4,4,,,,,1850,870,740,750,01,0.28,02,0.25,04,0.24,03,0.20,06,0.24,05,0.20
20260829,23,7,2,3,1,1550,差し,晴,3,3,,,,,1550,170,870,320,03,0.11,01,0.10,02,0.27,04,0.21,05,0.27,06,0.25
20260829,23,8,1,2,5,2510,逃げ,晴,4,4,,,,,2510,730,1590,760,01,0.02,02,0.06,05,0.10,04,0.17,03,0.16,06,0.20
20260829,23,9,1,4,3,1930,逃げ,晴,3,3,,,,,1930,190,1610,770,01,0.13,04,0.10,03,0.10,06,0.15,05,0.15,02,0.13
20260829,23,10,3,5,6,15330,差し,晴,3,3,,,,,15330,10230,2270,2040,S2,0.35,S0,0.18,01,0.20,03,0.25,02,0.34,04,0.29
20260829,23,11,1,5,6,3020,逃げ,晴,4,4,,,,,3020,1720,460,360,01,0.13,06,0.18,05,0.21,03,0.23,02,0.19,04,0.21
