登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3714,2026-06-21,16.1,44.4,11.1,11.1,0.15,2.8,16.1,22.2,5.6,11.1,0.15,3.2,17.9,15.0,10.0,5.0,0.13,2.9,13.4,6.7,6.7,26.7,0.16,2.4,19.6,4.5,0.0,0.0,0.15,3.4,17.0,5.3,10.5,0.0,0.17,3.8
3717,2026-06-21,19.6,55.6,22.2,11.1,0.15,2.9,15.2,28.6,28.6,0.0,0.16,3.0,9.8,22.2,22.2,22.2,0.14,3.3,15.2,14.3,21.4,14.3,0.16,2.7,16.3,20.0,20.0,0.0,0.12,2.8,23.9,4.5,18.2,0.0,0.18,4.0
3718,2026-06-21,13.6,66.7,13.3,6.7,0.15,2.3,19.1,4.8,19.0,23.8,0.17,3.7,15.5,23.5,5.9,0.0,0.18,3.9,14.5,12.5,6.2,0.0,0.16,3.5,22.7,4.0,16.0,0.0,0.18,3.5,14.5,6.2,0.0,0.0,0.2,4.3
3726,2026-06-21,12.2,33.3,0.0,0.0,0.14,4.7,18.4,11.1,33.3,11.1,0.15,4.1,18.4,11.1,22.2,0.0,0.17,3.8,16.3,0.0,0.0,0.0,0.17,3.8,20.4,20.0,20.0,0.0,0.14,3.4,14.3,28.6,0.0,0.0,0.23,4.9
3730,2026-06-21,12.0,33.3,26.7,13.3,0.14,3.1,20.8,3.8,23.1,15.4,0.17,3.7,18.4,13.0,13.0,13.0,0.16,3.4,14.4,11.1,11.1,5.6,0.18,3.1,20.0,4.0,8.0,4.0,0.19,3.8,14.4,5.6,0.0,0.0,0.19,4.8
3740,2026-06-21,22.9,54.5,22.7,9.1,0.13,2.0,16.7,25.0,18.8,18.8,0.16,3.3,15.6,13.3,33.3,26.7,0.17,2.8,11.5,9.1,9.1,9.1,0.14,3.3,19.8,42.1,10.5,31.6,0.16,3.1,13.5,15.4,15.4,23.1,0.19,3.9
3742,2026-06-21,14.8,8.3,16.7,41.7,0.17,2.8,17.3,21.4,28.6,0.0,0.21,4.9,19.8,12.5,37.5,12.5,0.17,3.2,18.5,13.3,20.0,0.0,0.18,3.9,22.2,5.6,22.2,0.0,0.17,3.8,7.4,16.7,0.0,0.0,0.18,3.5
3744,2026-06-21,22.9,70.0,16.7,0.0,0.14,2.8,16.0,38.1,9.5,23.8,0.12,3.0,13.7,27.8,11.1,11.1,0.15,3.0,24.4,31.2,18.8,9.4,0.12,2.2,16.0,9.5,19.0,19.0,0.11,2.4,6.9,11.1,0.0,0.0,0.16,4.2
3745,2026-06-21,20.0,38.9,33.3,16.7,0.16,2.7,16.7,33.3,13.3,0.0,0.16,3.3,16.7,6.7,13.3,26.7,0.18,3.8,14.4,7.7,15.4,23.1,0.14,3.8,12.2,9.1,36.4,0.0,0.17,3.6,20.0,16.7,16.7,0.0,0.19,4.0
3746,2026-06-21,20.0,57.1,17.9,14.3,0.16,3.8,14.3,15.0,45.0,20.0,0.17,3.7,18.6,23.1,11.5,0.0,0.17,3.7,14.3,10.0,25.0,15.0,0.17,4.5,17.9,8.0,8.0,28.0,0.19,4.3,15.0,33.3,0.0,0.0,0.18,3.7
